country,year,usage_of_improved_drinking_water_sources,usage_of_basic_drinking_water_services,usage_of_limited_drinking_water_services,usage_of_unimproved_drinking_water_sources,no_usage_of_drinking_water_facilities,usage_of_safely_managed_drinking_water_services,usage_of_improved_sanitation_facilities,usage_of_basic_sanitation_services,usage_of_limited_sanitation_services,usage_of_unimproved_sanitation_facilities,open_defecation_(no_use_of_any_sanitation_facilities),usage_of_safely_managed_sanitation_services,access_to_basic_handwashing_facilities,access_to_limited_handwashing_facilities,no_handwashing_facilities,number_using_improved_drinking_water_sources,number_using_basic_drinking_water_services,number_using_limited_drinking_water_services,number_using_unimproved_drinking_water_sources,number_with_not_using_drinking_water_facilities,number_using_safely_managed_drinking_water_services,number_using_improved_sanitation_facilities,number_using_basic_sanitation_services,number_using_limited_sanitation_services,number_using_unimproved_sanitation_facilities,number_practicing_open_defecation_(no_use_of_any_sanitation_facilities),number_using_sanitation_with_off-site_wastewater_treatment,number_with_access_to_basic_handwashing_facilities,number_with_access_to_limited_handwashing_facilities,number_with_no_handwashing_facilities,rural_usage,rural_usage.1,rural_usage.2,rural_usage.3,rural_usage.4,rural_usage.5,rural_usage.6,rural_usage.7,rural_usage.8,rural_usage.9,rural_usage.10,rural_usage.11,rural_usage.12,rural_usage.13,rural_usage.14,rural_usage_(number_of_people),rural_usage_(number_of_people).1,rural_usage_(number_of_people).2,rural_usage_(number_of_people).3,rural_usage_(number_of_people).4,rural_usage_(number_of_people).5,rural_usage_(number_of_people).6,rural_usage_(number_of_people).7,rural_usage_(number_of_people).8,rural_usage_(number_of_people).9,rural_usage_(number_of_people).10,rural_usage_(number_of_people).11,rural_usage_(number_of_people).12,rural_usage_(number_of_people).13,rural_usage_(number_of_people).14,urban_usage,urban_usage.1,urban_usage.2,urban_usage.3,urban_usage.4,urban_usage.5,urban_usage.6,urban_usage.7,urban_usage.8,urban_usage.9,urban_usage.10,urban_usage.11,urban_usage.12,urban_usage.13,urban_usage.14,urban_usage_(number_of_people),urban_usage_(number_of_people).1,urban_usage_(number_of_people).2,urban_usage_(number_of_people).3,urban_usage_(number_of_people).4,urban_usage_(number_of_people).5,urban_usage_(number_of_people).6,urban_usage_(number_of_people).7,urban_usage_(number_of_people).8,urban_usage_(number_of_people).9,urban_usage_(number_of_people).10,urban_usage_(number_of_people).11,urban_usage_(number_of_people).12,urban_usage_(number_of_people).13,urban_usage_(number_of_people).14,hyg_bas_number_without_rural,hyg_bas_number_without,hyg_bas_number_without_urban,hyg_bas_without_rural,hyg_bas_without,hyg_bas_without_urban,san_basal_rural,san_basal,san_basal_urban,san_basal_number_rural,san_basal_number,san_basal_number_urban,san_fst_sm_rural,san_fst_sm,san_fst_sm_urban,san_fst_sm_number_rural,san_fst_sm_number,san_fst_sm_number_urban,san_imp_number_without_rural,san_imp_number_without,san_imp_number_without_urban,san_imp_without_rural,san_imp_without,san_imp_without_urban,san_othimp_rural,san_othimp,san_othimp_urban,san_othimp_number_rural,san_othimp_number,san_othimp_number_urban,san_sdo_sm_rural,san_sdo_sm,san_sdo_sm_urban,san_sdo_sm_number_rural,san_sdo_sm_number,san_sdo_sm_number_urban,san_sep_rural,san_sep,san_sep_urban,san_sep_number_rural,san_sep_number,san_sep_number_urban,san_sew_rural,san_sew,san_sew_urban,san_sew_number_rural,san_sew_number,san_sew_number_urban,san_sew_sm_rural,san_sew_sm,san_sew_sm_urban,san_sew_sm_number_rural,san_sew_sm_number,san_sew_sm_number_urban,san_sm_number_without_rural,san_sm_number_without,san_sm_number_without_urban,san_sm_without_rural,san_sm_without,san_sm_without_urban,wat_basal_rural,wat_basal,wat_basal_urban,wat_basal_number_rural,wat_basal_number,wat_basal_number_urban,wat_basal_number_without_rural,wat_basal_number_without,wat_basal_number_without_urban,wat_basal_without_rural,wat_basal_without,wat_basal_without_urban,wat_imp_av_rural,wat_imp_av,wat_imp_av_urban,wat_imp_av_number_rural,wat_imp_av_number,wat_imp_av_number_urban,wat_imp_npip_rural,wat_imp_npip,wat_imp_npip_urban,wat_imp_npip_number_rural,wat_imp_npip_number,wat_imp_npip_number_urban,wat_imp_number_without_rural,wat_imp_number_without,wat_imp_number_without_urban,wat_imp_prem_rural,wat_imp_prem,wat_imp_prem_urban,wat_imp_prem_number_rural,wat_imp_prem_number,wat_imp_prem_number_urban,wat_imp_qual_rural,wat_imp_qual,wat_imp_qual_urban,wat_imp_qual_number_rural,wat_imp_qual_number,wat_imp_qual_number_urban,wat_imp_without_rural,wat_imp_without,wat_imp_without_urban,wat_pip_rural,wat_pip,wat_pip_urban,wat_pip_number_rural,wat_pip_number,wat_pip_number_urban,wat_sm_number_without_rural,wat_sm_number_without,wat_sm_number_without_urban,wat_sm_without_rural,wat_sm_without,wat_sm_without_urban
Algeria,2007,97.0,18.0,5.0,3.0,0.0,74.0,94.0,25.0,8.0,2.0,3.5542436,61.110416,82.913795,7.1355295,9.950674,32963132.0,6079201.0,1830806.2,916582.75,104115.19,25053122.0,31986634.0,8560194.0,2658781.2,789325.44,1207868.0,20767660.0,28177282.0,2424926.0,3381620.0,94.16518,27.351984,8.466506,5.117758,0.7170623,58.34669,86.1732,24.83255,10.117255,4.4758387,9.350961,51.223396,72.83243,12.005481,15.162088,11088963.0,3220990.5,997022.2,602671.06,84441.805,6870950.5,10147822.0,2924300.0,1191415.6,527078.2,1101176.2,6032106.0,8576802.0,1413774.0,1785499.0,98.49789,12.870326,3.754473,1.413528,0.08858793,81.873085,98.338684,25.378048,6.607447,1.1808867,0.4804255,66.353195,88.25962,4.553147,7.187229,21874166.0,2858210.2,833784.06,313912.78,19673.389,18182172.0,21838810.0,5635894.0,1467365.4,262248.4,106691.7,14735553.0,19600478.0,1011151.0,1596122.0,3199273.8,5806546.5,2607274.2,27.167572,17.086205,11.740379,76.05595,86.29944,91.73124,8956406.0,29327852.0,20371446.0,2.9851162,1.5470635,0.78450894,351529.56,525751.4,174221.81,1628254.2,1997192.9,368940.9,13.8267975,5.876892,1.6613159,9.503825,4.7470655,2.2247045,1119177.6,1613234.6,494056.84,15.562466,7.7475634,3.603565,1832647.9,2632918.8,800270.75,26.380812,12.985561,5.8824787,3106624.8,4412991.0,1306366.4,50.288563,76.39048,90.23151,5922019.5,25960410.0,20038390.0,32.675816,51.815792,61.96512,3847928.8,17608988.0,13761060.0,5743970.0,13216169.0,7472199.0,48.776604,38.889584,33.646805,85.69868,91.60923,94.74341,10091941.0,31132322.0,21040380.0,1684134.6,2851505.0,1167370.9,14.301323,8.39077,5.256592,87.74195,88.146194,88.36055,10332559.0,29955450.0,19622892.0,29.218185,18.644098,13.036988,3440755.8,6335978.5,2895222.0,687113.25,1020697.1,333585.6,58.34669,73.72072,81.873085,6870950.5,25053122.0,18182172.0,71.00468,81.81401,87.54585,8361565.0,27803532.0,19441966.0,5.8348236,3.003479,1.5021133,64.94699,78.352425,85.4609,7648207.0,26627154.0,18978944.0,4905125.5,8930706.0,4025580.5,41.65331,26.279282,18.126915
Algeria,2008,97.0,18.0,5.0,3.0,0.0,74.0,94.0,25.0,8.0,2.0,3.2162778,61.40853,83.02934,7.079712,9.890944,33604570.0,6105157.5,1854707.8,866338.7,98688.66,25644700.0,32615212.0,8685623.0,2700907.5,842529.2,1111854.1,21228680.0,28702906.0,2447427.0,3419259.0,94.52434,26.750315,8.498798,4.800592,0.675068,59.275227,86.566154,24.776634,10.16339,4.809024,8.624822,51.62613,72.83243,12.005481,15.162088,11078375.0,3135171.5,996070.2,562635.6,79118.84,6947133.5,10145666.0,2903853.0,1191162.5,563623.8,1010840.3,6050649.0,8536055.0,1407058.0,1777016.0,98.585205,12.998056,3.7578013,1.3291507,0.08564668,81.829346,98.337296,25.30374,6.6073537,1.220624,0.442084,66.4262,88.25962,4.553147,7.187229,22526190.0,2969986.0,858637.44,303703.78,19569.807,18697566.0,22469544.0,5781768.0,1509744.9,278906.03,101013.82,15178030.0,20166848.0,1040369.0,1642243.0,3184074.5,5866687.0,2682613.5,27.167572,16.970657,11.740379,76.40276,86.53357,91.72994,8954503.0,29914304.0,20959800.0,2.9528031,1.4860312,0.7336827,346072.38,513714.94,167642.56,1574464.1,1954382.6,379919.06,13.4338455,5.653473,1.6627045,9.495432,4.5934067,2.0790207,1112877.0,1587922.0,475045.1,15.333703,7.427333,3.3719337,1797129.9,2567598.8,770468.75,25.760546,12.374984,5.5091534,3019169.5,4277981.5,1258812.0,51.310177,77.378136,90.749115,6013619.0,26749308.0,20735686.0,33.339622,52.495167,62.320583,3907447.0,18147366.0,14239919.0,5669480.5,13340914.0,7671433.0,48.37387,38.59147,33.5738,86.02554,91.84331,94.8274,10082305.0,31749858.0,21667552.0,1637824.5,2819735.2,1181911.2,13.974457,8.1566925,5.1726,88.076614,88.31606,88.43888,10322694.0,30530504.0,20207810.0,29.963272,19.308914,13.843994,3511734.5,6675013.0,3163278.2,641754.75,965027.4,323273.03,59.275227,74.18282,81.829346,6947133.5,25644700.0,18697566.0,71.275505,82.08102,87.62347,8353581.5,28375074.0,20021492.0,5.475662,2.7915497,1.4147949,64.561066,77.899536,84.74121,7566640.5,26929552.0,19362912.0,4772996.0,8924893.0,4151897.0,40.724773,25.817177,18.170654
Algeria,2009,97.0,17.0,5.0,2.0,0.0,75.0,95.0,25.0,8.0,3.0,2.890114,61.698814,83.14181,7.025384,9.8328085,34286412.0,6139718.5,1880705.9,816253.7,93369.67,26265986.0,33281990.0,8820363.0,2746091.5,896839.06,1017205.56,21715536.0,29262620.0,2472656.0,3460758.0,94.8835,26.14328,8.531091,4.483426,0.63307375,60.20913,86.95911,24.72072,10.209525,5.142209,7.898683,52.028862,72.83243,12.005481,15.162088,11078535.0,3052472.0,996084.5,523481.84,73917.266,7029978.0,10153287.0,2886375.0,1192057.4,600400.9,922245.0,6074855.0,8503866.0,1401752.0,1770315.0,98.67252,13.125993,3.7611296,1.2447735,0.08270542,81.7854,98.3359,25.229431,6.6072598,1.2603613,0.4037425,66.49921,88.25962,4.553147,7.187229,23207880.0,3087247.2,884621.56,292772.03,19452.402,19236010.0,23128704.0,5933988.0,1554034.4,296438.28,94960.65,15640683.0,20758754.0,1070904.0,1690443.0,3172067.5,5933415.0,2761349.2,27.167572,16.858192,11.740379,76.74958,86.75948,91.72864,8961230.0,30535898.0,21574670.0,2.9204898,1.425169,0.68285644,340994.44,501603.0,160608.53,1522646.1,1914044.9,391398.2,13.040894,5.43824,1.6641006,9.487039,4.439202,1.9333372,1107700.4,1562423.1,454722.9,15.10494,7.1094513,3.1403024,1763642.9,2502245.0,738602.4,25.14028,11.772105,5.1358275,2935362.2,4143314.2,1207952.0,52.33179,78.35046,91.26673,6110225.5,27576254.0,21466030.0,34.003433,53.164192,62.676044,3970218.2,18711688.0,14741470.0,5601078.5,13480498.0,7879421.5,47.971138,38.301186,33.500793,86.35241,92.07204,94.91139,10082450.0,32405706.0,22323258.0,1593483.6,2790328.8,1196845.9,13.647591,7.9279633,5.088608,88.41127,88.48207,88.51721,10322841.0,31142180.0,20819340.0,30.70836,19.977869,14.650999,3585487.8,7031418.0,3445930.2,597399.25,909623.9,312223.84,60.20913,74.627686,81.7854,7029978.0,26265986.0,19236010.0,71.546326,82.341896,87.70107,8353702.0,28981084.0,20627382.0,5.116501,2.5844498,1.3274765,64.17514,77.43768,84.02152,7493047.0,27254994.0,19761948.0,4645956.0,8930049.0,4284092.5,39.79087,25.372314,18.2146
Algeria,2010,98.0,17.0,5.0,2.0,0.0,75.0,95.0,25.0,8.0,3.0,2.5749993,61.982166,83.25195,6.972174,9.775869,35002304.0,6181335.0,1908342.4,765927.5,88112.34,26912628.0,33980910.0,8962640.0,2793735.2,952129.5,923300.56,22224538.0,29851106.0,2499966.0,3505269.0,95.24266,25.53088,8.563383,4.1662607,0.59107953,61.1484,87.35206,24.664804,10.25566,5.4753947,7.1725435,52.431595,72.83243,12.005481,15.162088,11085264.0,2971531.2,996689.44,484909.78,68795.56,7117043.0,10166879.0,2870728.0,1193653.1,637279.5,834810.1,6102497.0,8476944.0,1397314.0,1764710.0,98.75984,13.254134,3.764458,1.1603962,0.07976417,81.74125,98.3345,25.155125,6.607166,1.3000985,0.36540097,66.57221,88.25962,4.553147,7.187229,23917042.0,3209803.5,911652.94,281017.5,19316.787,19795584.0,23814036.0,6091910.0,1600082.1,314849.75,88490.52,16122043.0,21374164.0,1102652.0,1740558.0,3162025.0,6005237.5,2843211.5,27.167572,16.748047,11.740379,77.096405,86.978134,91.72733,8973226.0,31187178.0,22213952.0,2.8881767,1.3643754,0.6320302,336153.97,489215.12,153061.12,1472090.0,1875430.2,403339.62,12.647942,5.2304,1.6654968,9.478644,4.284149,1.7876536,1103216.5,1536139.2,432922.78,14.876178,6.7933235,2.9086711,1731433.8,2435837.2,704403.8,24.520016,11.175791,4.762502,2853877.0,4007229.8,1153353.0,53.3534,79.30966,91.78435,6209785.5,28437544.0,22227760.0,34.667244,53.824467,63.03151,4034909.8,19299486.0,15264576.0,5536472.0,13631805.0,8095332.5,47.568405,38.017834,33.427788,86.679276,92.295975,94.995384,10088574.0,33093962.0,23005388.0,1550395.0,2762381.8,1211986.5,13.3207245,7.7040253,5.004616,88.74593,88.64436,88.59554,10329111.0,31784626.0,21455516.0,31.453447,20.650126,15.458005,3660857.0,7404380.0,3743523.2,553705.25,854039.25,300333.72,61.1484,75.05681,81.74125,7117043.0,26912628.0,19795584.0,71.81715,82.597565,87.77869,8358775.5,29616468.0,21257694.0,4.7573395,2.381836,1.2401581,63.78921,76.96804,83.301834,7424406.5,27597924.0,20173518.0,4521925.5,8943716.0,4421790.0,38.8516,24.943192,18.25875
Algeria,2011,98.0,17.0,5.0,2.0,0.0,75.0,95.0,25.0,8.0,3.0,2.2708082,62.258324,83.35933,6.920306,9.720366,35745540.0,6228873.0,1937288.8,715106.44,82892.555,27579378.0,34705364.0,9110638.0,2843329.8,1008342.3,829833.7,22751394.0,30462450.0,2528924.0,3552165.0,95.60182,24.913115,8.595675,3.8490949,0.54908526,62.09303,87.74502,24.60889,10.301796,5.80858,6.4464045,52.83433,72.83243,12.005481,15.162088,11097163.0,2891837.2,997759.4,446791.0,63736.117,7207567.0,10185170.0,2856523.0,1195800.5,674242.0,748278.7,6132845.0,8454163.0,1393559.0,1759968.0,98.84716,13.382483,3.7677863,1.076019,0.076822914,81.69689,98.33311,25.080816,6.6070724,1.3398359,0.32705945,66.64522,88.25962,4.553147,7.187229,24648380.0,3337035.8,939529.5,268314.5,19156.445,20371814.0,24520196.0,6254114.0,1647529.5,334099.47,81555.05,16618551.0,22008286.0,1135365.0,1792196.0,3153527.5,6081090.0,2927563.2,27.167572,16.64067,11.740379,77.44322,87.18924,91.726036,8989370.0,31862034.0,22872666.0,2.8558636,1.3037268,0.58120394,331499.8,476427.9,144928.14,1422520.4,1838175.8,415653.94,12.254982,5.030098,1.666893,9.470251,4.1285453,1.6419699,1099277.5,1508716.5,409439.16,14.647415,6.4793096,2.6770399,1700226.6,2367769.0,667542.6,23.89975,10.586515,4.389177,2774209.0,3868687.2,1094478.5,54.375015,80.254845,92.301956,6311683.5,29327962.0,23016278.0,35.33105,54.47529,63.38697,4101118.8,19907198.0,15806080.0,5474844.5,13792144.0,8317298.5,47.16567,37.741676,33.354782,87.00614,92.51499,95.07937,10099403.0,33808252.0,23708848.0,1508286.9,2735287.0,1227001.2,12.993858,7.4850082,4.9206314,89.0806,87.79794,87.200874,10340200.0,32084476.0,21744278.0,32.198536,21.326134,16.26501,3737506.5,7793324.0,4055818.8,510526.88,797998.7,287470.38,62.09303,75.46992,81.69689,7207567.0,27579378.0,20371814.0,72.08797,82.84764,87.85629,8367748.0,30275460.0,21907714.0,4.398178,2.183693,1.1528397,63.403286,76.49017,82.582146,7359657.0,27952218.0,20592560.0,4400124.0,8964160.0,4564035.5,37.90697,24.530083,18.303108
Algeria,2012,98.0,17.0,5.0,2.0,0.0,76.0,95.0,25.0,8.0,3.0,1.9771147,62.311268,83.523895,7.324399,9.151707,36519140.0,6288674.5,1961760.8,663719.25,77704.97,28268704.0,35458264.0,9234014.0,3006720.0,1065615.5,736684.06,23217528.0,31121472.0,2729112.0,3409977.0,95.96098,24.299648,8.618303,3.531929,0.507091,63.043026,88.13797,24.51568,10.466092,6.141765,5.7202654,53.156197,73.08251,12.455037,14.462449,11114630.0,2814494.0,998210.44,409083.8,58733.547,7301925.5,10208534.0,2839515.0,1212229.6,711366.7,662546.7,6156788.0,8464743.0,1442598.0,1675105.0,98.93448,13.529734,3.7524185,0.99164176,0.07388166,81.65232,98.33171,24.902523,6.9884043,1.3795731,0.28871793,66.44078,88.23362,5.010158,6.7562256,25404510.0,3474180.8,963550.4,254634.9,18971.418,20966776.0,25249730.0,6394498.0,1794490.4,354248.38,74137.32,17060740.0,22656730.0,1286514.0,1734871.0,3117703.8,6139089.5,3021384.8,26.917488,16.476105,11.76638,77.671875,87.09354,91.34331,8996304.0,32451542.0,23455240.0,2.8192616,1.2403574,0.5281722,326539.47,462164.12,135624.67,1373913.4,1802298.4,428385.2,11.86203,4.8370132,1.6682892,9.461858,3.9723845,1.4962863,1095914.8,1480132.8,384218.12,14.39675,6.1534758,2.4352396,1667496.1,2292819.8,625323.6,23.279484,10.003952,4.015851,2696334.0,3727528.8,1031194.9,55.396626,81.186646,92.81957,6416285.5,30250602.0,23834316.0,35.940186,54.917435,63.47737,4162753.0,20462546.0,16299793.0,5425659.0,14043034.0,8617375.0,46.843803,37.688732,33.55922,87.342674,92.745186,95.18206,10116419.0,34557376.0,24440960.0,1466028.1,2703184.8,1237156.1,12.657326,7.254814,4.8179398,86.5829,86.04584,85.8036,10028419.0,32061164.0,22032746.0,32.943623,22.005705,17.072016,3815677.5,8199449.5,4383772.0,467816.97,741424.75,273605.78,63.043026,75.86762,81.65232,7301925.5,28268704.0,20966776.0,72.358795,83.09238,87.9339,8380919.0,30960688.0,22579768.0,4.0390167,1.9898376,1.0655212,63.017357,76.004456,81.862465,7298952.0,28319688.0,21020738.0,4280522.0,8991859.0,4711338.0,36.956974,24.132378,18.34768
Algeria,2013,98.0,17.0,5.0,2.0,0.0,76.0,95.0,25.0,8.0,3.0,1.6936147,62.353973,83.68204,7.729931,8.588034,37316556.0,6353985.5,1987038.4,611543.3,72527.43,28975532.0,36233196.0,9360657.0,3177638.8,1123845.0,643584.2,23694900.0,31799696.0,2937422.0,3263506.0,96.32014,23.680891,8.640859,3.2147634,0.46509674,63.99839,88.53092,24.422638,10.631443,6.4749503,4.9941263,53.47684,73.332596,12.904593,13.76281,11135869.0,2737821.2,998996.4,371668.75,53771.273,7399052.0,10235334.0,2823576.0,1229134.0,748589.06,577386.44,6182623.0,8478208.0,1491940.0,1591161.0,99.0218,13.677223,3.7370179,0.90726453,0.070940405,81.60755,98.330315,24.724846,7.3697257,1.4193105,0.2503764,66.23574,88.20761,5.4671693,6.3252215,26180686.0,3616164.2,988042.0,239874.55,18756.158,21576478.0,25997862.0,6537080.0,1948505.0,375255.97,66197.81,17512276.0,23321488.0,1445482.0,1672345.0,3083101.2,6200927.5,3117827.0,26.667404,16.317963,11.792389,77.89948,86.98688,90.96059,9006200.0,33055556.0,24049358.0,2.7827575,1.177504,0.4755631,321723.22,447458.84,125735.63,1325975.6,1767429.8,441453.4,11.469078,4.6510544,1.6696854,9.4534645,3.815817,1.3506026,1092944.2,1450034.4,357090.1,14.146781,5.831464,2.1953657,1635553.1,2215992.8,580439.7,22.65922,9.428164,3.6425257,2619702.5,3582761.0,963058.9,56.41824,82.104965,93.33718,6522687.5,31200400.0,24677712.0,36.547302,55.345005,63.56481,4225347.0,21031448.0,16806102.0,5378686.5,14305725.0,8927039.0,46.52316,37.646027,33.76426,87.67928,92.97088,95.284775,10136874.0,35329516.0,25192642.0,1424436.2,2671110.0,1246673.2,12.320717,7.0291214,4.715225,84.064,84.30036,84.40372,9718899.0,32034664.0,22315766.0,33.68871,22.688961,17.87902,3894856.0,8621947.0,4727091.0,425440.34,684070.4,258630.14,63.99839,76.250145,81.60755,7399052.0,28975532.0,21576478.0,72.629616,83.331726,88.01151,8396935.0,31666578.0,23269642.0,3.679863,1.8001556,0.9782028,62.631428,75.51088,81.14278,7241013.5,28694606.0,21453596.0,4162257.8,9025093.0,4862837.5,36.00161,23.749855,18.392448
Algeria,2014,98.0,17.0,5.0,1.0,0.0,77.0,96.0,24.0,9.0,3.0,1.4198568,62.38698,83.83419,8.136751,8.029062,38134400.0,6424155.0,2012889.2,558424.6,67343.99,29697354.0,37026890.0,9489599.0,3355989.8,1182942.9,550338.9,24181298.0,32494272.0,3153818.0,3112078.0,96.6793,23.056839,8.663342,2.8975976,0.42310247,64.95912,88.923874,24.32977,10.797847,6.8081355,4.2679873,53.79626,73.58268,13.35415,13.06317,11159102.0,2661310.2,999956.7,334452.0,48836.133,7497835.0,10263940.0,2808236.0,1246329.6,785821.56,492627.72,6209374.0,8493200.0,1541388.0,1507802.0,99.109116,13.824951,3.721584,0.8228873,0.067999154,81.56258,98.32892,24.547789,7.751036,1.4590477,0.21203488,66.03009,88.1816,5.9241805,5.894218,26975298.0,3762844.5,1012932.44,223971.62,18507.86,22199522.0,26762946.0,6681362.0,2109659.8,397120.34,57711.184,17971924.0,24001072.0,1612430.0,1604275.0,3049190.0,6265895.0,3216705.2,26.41732,16.16581,11.8183975,78.12603,86.86984,90.57788,9017611.0,33670896.0,24653286.0,2.746352,1.1151354,0.42337677,316994.66,432228.38,115233.75,1278449.6,1733280.9,454831.28,11.076126,4.4718094,1.6710815,9.445071,3.6587539,1.2049191,1090186.9,1418139.2,327952.2,13.897507,5.5130568,1.9574183,1604104.4,2136870.0,532765.75,22.038954,8.8586445,3.2692,2543822.0,3433625.5,889803.56,57.439854,83.01079,93.8548,6629931.5,32175120.0,25545190.0,37.152405,55.758785,63.649296,4288275.0,21612200.0,17323924.0,5333015.5,14578871.0,9245854.0,46.20374,37.61302,33.96991,88.01596,93.192345,95.38753,10159145.0,36121508.0,25962366.0,1383244.5,2638658.5,1255412.5,11.984039,6.8076553,4.6124725,81.523895,82.5613,83.001236,9409806.0,32000900.0,22591092.0,34.433796,23.375555,18.686026,3974483.0,9060404.0,5085921.0,383288.3,625768.94,242478.92,64.95912,76.61823,81.56258,7497835.0,29697354.0,22199522.0,72.90044,83.56608,88.08912,8414453.0,32390352.0,23975900.0,3.3207016,1.6144638,0.8908844,62.245502,75.00998,80.42309,7184618.0,29073994.0,21889376.0,4044554.8,9062812.0,5018257.0,35.04088,23.381767,18.437424
Algeria,2015,99.0,16.0,5.0,1.0,0.0,77.0,96.0,24.0,9.0,3.0,1.1555778,62.410316,83.9802,8.545003,7.474796,38976630.0,6499944.0,2039549.0,504360.56,62159.023,30437140.0,37843084.0,9621720.0,3542355.8,1243117.6,456951.88,24679008.0,33208420.0,3378963.0,2955769.0,97.03846,22.427496,8.685753,2.5804317,0.38110822,65.92521,89.31683,24.237068,10.965304,7.141321,3.541848,54.11446,73.83276,13.803706,12.363531,11186225.0,2585356.5,1001260.56,297462.38,43932.71,7599608.0,10296105.0,2793957.0,1264038.6,823224.4,408290.78,6238109.0,8511160.0,1591238.0,1425221.0,99.196434,13.972919,3.7061174,0.7385101,0.065057896,81.517395,98.32752,24.37135,8.132336,1.498785,0.17369336,65.82384,88.155594,6.3811917,5.463214,27790410.0,3914588.0,1038288.56,206897.53,18226.316,22837532.0,27546980.0,6827763.0,2278317.2,419892.62,48661.12,18440898.0,24697260.0,1787725.0,1530548.0,3016459.8,6334733.5,3318273.5,26.167236,16.019798,11.844406,78.351524,86.74252,90.19518,9032066.0,34300730.0,25268662.0,2.7100444,1.0533125,0.37161312,312403.62,416512.97,104109.4,1231514.9,1700070.1,468553.53,10.6831665,4.2992783,1.6724777,9.436678,3.5014274,1.0592355,1087824.4,1384574.9,296750.47,13.648927,5.1985106,1.7213974,1573396.5,2055655.0,482258.66,21.418688,8.295645,2.8958747,2469065.0,3280359.5,811294.75,58.461464,83.90365,94.37241,6739215.5,33178146.0,26438936.0,37.75549,56.158493,63.730827,4352309.5,22206840.0,17854532.0,5289510.5,14864146.0,9574634.0,45.88554,37.589684,34.176163,88.35271,93.40956,95.49032,10184964.0,36937084.0,26752122.0,1342655.8,2606067.2,1263411.4,11.647293,6.590439,4.5096817,78.96259,80.82842,81.59615,9102508.0,31962106.0,22859598.0,35.178886,24.065771,19.49303,4055288.5,9516365.0,5461076.5,341395.1,566520.06,225123.3,65.92521,76.97196,81.517395,7599608.0,30437140.0,22837532.0,73.17126,83.79525,88.16673,8434905.0,33135284.0,24700380.0,2.9615402,1.432663,0.803566,61.859573,74.501564,79.7034,7130936.5,29460266.0,22329334.0,3928012.5,9106012.0,5178000.0,34.07479,23.028038,18.482605
Algeria,2016,99.0,17.0,5.0,1.0,0.0,76.0,96.0,24.0,9.0,3.0,0.9003524,62.42451,84.12051,8.9545355,6.924958,39833244.0,6949625.5,2066444.6,449136.2,56948.82,30817174.0,38672080.0,9754442.0,3736008.2,1304054.0,363196.1,25181628.0,33933650.0,3612199.0,2793481.0,97.39762,21.79286,8.708092,2.263266,0.33911395,66.89667,89.709785,24.144537,11.133816,7.4745064,2.8157086,54.431435,74.08285,14.2532625,11.663892,11213629.0,2509065.8,1002584.1,260575.4,39043.027,7701978.5,10328509.0,2779820.0,1281863.8,860558.44,324179.5,6266825.0,8529341.0,1641013.0,1342892.0,99.28375,15.40466,3.6906176,0.65413284,0.06211664,80.18847,98.326126,24.195526,8.513625,1.5385222,0.13535184,65.616974,88.129585,6.838203,5.0322104,28619616.0,4440560.0,1063860.4,188560.88,17905.795,23115194.0,28343570.0,6974622.0,2454144.5,443495.7,39016.63,18914802.0,25404306.0,1971186.0,1450589.0,2983905.8,6405681.0,3421775.5,25.917152,15.879494,11.870415,78.575966,86.605484,89.8125,9046645.0,34936070.0,25889424.0,2.6738348,0.9920025,0.32027218,307845.2,400167.16,92321.92,1184737.8,1667250.4,482512.25,10.290215,4.1330643,1.6738739,9.428285,3.3437414,0.9135518,1085501.6,1348842.9,263341.2,13.401043,4.8876033,1.4873029,1542895.2,1971626.2,428731.16,20.798422,7.738666,2.5225492,2394573.8,3121726.0,727152.1,59.483078,84.78453,94.89002,6848433.5,34201510.0,27353076.0,38.356556,56.544903,63.8094,4416085.0,22809832.0,18393750.0,5246421.5,15157700.0,9911279.0,45.568565,37.57549,34.383026,88.68953,93.62277,95.59313,10211045.0,37766796.0,27555754.0,1302202.5,2572530.8,1270327.4,11.310471,6.377228,4.406868,76.38009,79.101524,80.18847,8793828.0,31909024.0,23115194.0,35.923973,24.759264,20.300037,4136015.8,9987721.0,5851705.0,299618.3,506085.12,206466.11,66.89667,77.31206,81.47201,7701978.5,31187164.0,23485188.0,73.44208,84.01963,88.24434,8455568.0,33892956.0,25437384.0,2.6023788,1.25457,0.71624756,61.473648,73.98617,78.98371,7077613.0,29845522.0,22767910.0,3811268.5,9522155.0,5710888.0,33.103333,23.60514,19.811531
